team,timeofpossecs,totalNetYards,netYardRushing,TO,yardsPerPass,isHomeTeam,isWinner
GB,1737,309,94,0,7.7,1,1
KC,1686,321,114,-1,5.4,1,1
SD,1798,386,176,0,7.8,1,1
NYJ,2019,383,85,0,6.8,1,1
SF,1850,448,57,-2,6.3,1,1
DEN,1989,434,210,2,7.5,1,1
NYG,1676,456,164,0,8.1,1,1
NO,2180,333,167,0,6.1,1,1
CIN,2074,371,98,0,7.6,1,1
WAS,2163,352,141,1,5.6,1,1
TB,1895,353,69,2,6.8,1,1
BAL,2281,259,115,0,6.9,1,1
NE,1738,204,135,1,3.5,1,1
ATL,1957,368,285,0,3.6,1,1
IND,2101,338,150,1,7,1,1
DET,1814,266,169,2,4,1,1
CLE,1726,278,76,2,5.5,1,1
BUF,2112,236,99,-1,4.7,1,1
NYJ,1609,212,62,-1,7.1,1,1
DEN,1571,257,165,0,3.5,1,1
DAL,2443,456,167,-1,8.3,1,1
JAC,1765,342,181,-1,6.7,1,1
IND,1974,363,176,-1,5.5,1,1
SD,1721,424,83,0,7.8,1,1
SF,1819,208,158,0,2.6,1,1
DEN,2220,564,255,0,8.6,1,1
NYG,1455,275,121,2,5.9,1,1
OAK,1754,333,129,0,7.8,1,1
IND,1898,339,111,1,9.9,1,1
MIN,1571,259,113,-2,5.8,1,1
CIN,2320,504,167,1,8.4,1,1
IND,1720,268,146,1,4.4,1,1
PHI,2277,583,140,-1,10.8,1,1
TB,2330,318,191,0,5.5,1,1
TEN,1986,290,97,-1,5.1,1,1
CHI,1992,336,187,0,6.2,1,1
CAR,1919,250,104,1,5.4,1,1
SEA,2195,428,163,-1,8,1,1
NYJ,2039,271,98,0,5.4,1,1
DEN,1985,331,98,0,5.8,1,1
PIT,2143,401,170,1,11,1,1
MIA,1667,315,144,1,5.2,1,1
JAC,1744,312,98,0,7.9,1,1
STL,1630,360,101,-2,8.1,1,1
PHI,1803,448,83,0,6.9,1,1
MIN,2293,420,147,0,7.6,1,1
SEA,2009,447,163,0,8.9,1,1
SD,1805,485,268,-1,9.4,1,1
CAR,1869,286,90,-1,7.5,1,1
ARI,2268,463,97,-3,7.5,1,1
CLE,1804,280,96,-1,7.7,1,1
HOU,1969,386,162,-1,9,1,1
PIT,1912,333,165,-2,6.5,1,1
ARI,2050,373,211,-1,7.7,1,1
SD,1367,393,195,0,9.4,1,1
DEN,1808,358,221,0,7.2,1,1
BAL,1872,241,104,0,3.3,1,1
NE,1240,273,93,-2,7.5,1,1
IND,1955,419,126,-2,8.1,1,1
JAC,2069,338,133,0,6.6,1,1
CHI,1734,239,172,-2,4.8,1,1
BUF,1517,209,61,-2,6.2,1,1
CAR,1873,220,101,2,5.9,1,1
SEA,1753,417,174,2,8.4,1,1
TB,1535,340,61,-1,9.6,1,1
PIT,2183,382,159,0,8.3,1,1
NE,1623,326,132,-1,6.1,1,1
DAL,2162,253,149,-1,4.3,1,1
WAS,1917,293,78,-1,6.9,1,1
CHI,1842,258,122,1,5.2,1,1
MIN,1779,285,164,-1,4.8,1,1
NYG,1829,315,115,0,6.5,1,1
SD,2250,478,141,0,9.9,1,1
DEN,2548,404,196,-1,7.2,1,1
IND,1847,366,127,1,8.9,1,1
TEN,1904,461,118,1,8.4,1,1
CIN,1813,437,135,-1,10.1,1,1
MIN,1936,281,81,0,6.7,1,1
KC,2065,420,112,-1,11,1,1
SEA,1639,355,127,0,5.7,1,1
PHI,1865,264,180,-1,2.8,1,1
ATL,1758,406,127,1,11.2,1,1
CIN,1752,278,185,1,3.4,1,1
CLE,2128,376,181,1,6.7,1,1
WAS,1998,457,204,0,11.5,1,1
CLE,1944,441,169,0,8,1,1
DAL,2301,385,92,-2,7.3,1,1
CHI,1658,192,95,-1,3.5,1,1
BAL,2225,351,150,1,6.3,1,1
TB,2139,342,180,-1,5.6,1,1
KC,1660,274,96,0,6.8,1,1
DEN,1937,432,178,0,10.2,1,1
BUF,2315,341,177,2,6.1,1,1
JAC,2245,362,110,1,6.3,1,1
SEA,1893,459,320,1,6,1,1
MIN,1803,363,108,-1,7.1,1,1
DET,2068,383,157,0,7.1,1,1
STL,1563,298,109,-1,6.3,1,1
SF,1237,217,34,-2,9.1,1,1
SEA,1552,289,72,1,5,1,1
ARI,1590,173,55,1,3.7,1,1
CHI,1898,276,143,0,4.3,1,1
NYG,1559,311,97,0,5.1,1,1
OAK,1971,416,162,-1,8.8,1,1
PIT,1736,261,101,0,4.8,1,1
HOU,1856,237,117,1,5.5,1,1
DAL,1969,348,146,-1,7.5,1,1
CIN,1811,317,95,1,6.2,1,1
CAR,2151,452,111,0,11,1,1
STL,1718,386,200,3,8.1,1,1
NYG,2361,386,262,1,3.8,1,1
PHI,1873,286,24,2,4.6,1,1
SD,2032,341,119,1,5.4,1,1
DEN,1704,235,144,-1,4.6,1,1
CHI,2132,362,143,0,6.8,1,1
DEN,1702,222,116,0,4.2,1,1
MIN,2199,336,135,-1,5.9,1,1
IND,2035,320,154,0,5.4,1,1
CHI,2251,351,155,-1,5.9,1,1
CAR,1725,288,119,0,5.6,1,1
NO,1763,314,143,0,5.2,1,1
NYG,2087,411,155,0,7.8,1,1
NE,1783,213,79,-1,4.5,1,1
SF,2113,330,165,1,8.7,1,1
STL,1806,427,106,0,7.5,1,1
PHI,1381,383,52,-2,9.2,1,1
KC,2115,333,125,0,9,1,1
NO,2043,372,97,2,7.2,1,1
DET,1901,397,135,1,6.7,1,1
DAL,2114,354,170,0,5.8,1,1
TB,2107,300,126,1,3.8,1,1
PIT,2071,457,219,-1,11.3,1,1
WAS,1712,300,117,-1,7.6,1,1
NYG,1865,285,122,1,5.3,1,1
SF,1515,133,42,1,3.8,1,1
SD,1626,381,190,-1,6.2,1,1
CAR,1996,318,78,0,7.1,1,1
IND,2028,384,148,-2,6.1,1,1
DET,1736,254,102,0,5.1,1,1
JAC,1922,312,181,0,6.2,1,1
MIA,2129,289,159,-1,4.2,1,1
IND,2096,515,125,-1,9.8,1,1
CIN,2045,481,160,2,7.3,1,1
CHI,1980,383,89,-1,10.5,1,1
BAL,1921,264,138,1,3.6,1,1
ATL,2049,382,306,0,4,1,1
MIN,2006,365,140,1,6.1,1,1
SF,1523,360,127,-1,10.6,1,1
SEA,1913,341,146,2,6.5,1,1
PIT,2127,339,143,-1,7,1,1
SD,2315,476,241,0,6.5,1,1
DEN,1899,318,145,1,5.8,1,1
WAS,2128,481,152,0,11,1,1
NO,1960,326,146,0,6.2,1,1
KC,1738,355,134,-1,7.6,1,1
IND,1236,272,63,0,6.3,1,1
SEA,2280,333,106,3,6.9,1,1
PHI,1637,398,131,-2,7.4,1,1
HOU,2035,276,65,0,6.2,1,1
CAR,1821,324,167,0,5.2,1,1
BUF,2157,296,95,0,5.7,1,1
BAL,1578,206,56,1,4.7,1,1
STL,1969,320,125,0,5.3,1,1
NE,1975,319,183,0,5.2,1,1
JAC,2052,307,78,1,6.5,1,1
ARI,2102,367,84,-1,7.1,1,1
ATL,1886,405,262,1,6,1,1
DAL,1915,367,138,-1,5.9,1,1
WAS,1754,253,143,1,4.6,1,1
NYJ,1696,272,103,0,5.5,1,1
KC,1646,292,200,0,5.1,1,1
SF,2172,416,262,-1,5.9,1,1
ARI,1843,338,105,0,8,1,1
DAL,2022,342,117,0,9.4,1,1
DAL,2237,435,137,0,9.9,1,1
KC,2102,382,223,1,6.9,1,1
SEA,2167,382,235,2,4,1,1
MIN,2192,412,157,-1,5.9,1,1
STL,1834,349,140,1,5.4,1,1
NYJ,1749,304,27,0,8.4,1,1
TB,2161,359,181,0,8.5,1,1
BAL,2086,275,114,0,6,1,1
BAL,2203,328,103,-1,6.2,1,1
SD,1655,260,110,1,4.5,1,1
TEN,1583,343,108,-2,6.4,1,1
NE,1738,352,85,-1,8.1,1,1
IND,1818,420,237,1,9.1,1,1
NE,1940,379,73,0,8.1,1,1
ATL,2031,319,200,-1,4.4,1,1
KC,1711,389,198,1,7.1,1,1
JAC,2051,362,119,0,6.9,1,1
BUF,2295,316,152,0,5.7,1,1
WAS,2055,323,164,-1,5.7,1,1
PIT,1850,424,206,0,19.8,1,1
MIA,1938,426,151,-1,7.6,1,1
BUF,1670,241,72,1,6,1,1
OAK,1470,98,81,1,0.9,1,1
HOU,2010,349,131,0,6.2,1,1
CIN,2072,342,112,0,5.6,1,1
ATL,1939,399,173,2,7.3,1,1
TB,1861,196,111,0,3,1,1
NYJ,2054,398,221,1,7.4,1,1
OAK,2221,395,137,-1,6.4,1,1
IND,1746,452,110,0,9.8,1,1
KC,2535,499,191,-3,11.8,1,1
GB,2019,383,203,0,7.2,1,1
CHI,2225,402,145,0,7.8,1,1
TEN,1419,197,111,0,5.4,1,1
MIA,1440,251,-3,0,6,1,1
SD,1854,419,216,0,8.5,1,1
ATL,2002,310,205,3,3.6,1,1
CLE,2111,267,147,1,4.8,1,1
SEA,2139,371,207,0,5,1,1
JAC,1811,342,173,0,7,1,1
DET,1976,435,127,1,8.8,1,1
BUF,1539,184,120,0,3.2,1,1
BAL,2244,374,129,0,7.9,1,1
PHI,1829,365,145,0,8.1,1,1
MIA,2150,306,117,-1,5.1,1,1
SEA,1568,283,160,-2,4.2,1,1
PIT,1619,467,217,0,8.3,1,1
JAC,2419,414,165,-1,7.8,1,1
CAR,2323,411,242,1,5.8,1,1
NYG,2138,251,108,0,4.3,1,1
SD,1895,208,122,0,3,1,1
JAC,2143,332,90,1,5.4,1,1
CIN,1651,321,133,1,8.5,1,1
KC,2334,540,271,-1,9.6,1,1
PHI,2027,542,93,-1,9.2,1,1
BAL,1748,160,100,-1,2.6,1,1
WAS,2429,379,211,0,7.3,1,1
TB,1931,293,138,-2,6.5,1,1
MIN,1963,313,152,0,4.9,1,1
DAL,2323,357,127,3,9.2,1,1
NE,1739,343,133,-1,6.6,1,1
NYJ,1936,374,152,0,7.4,1,1
GB,1999,480,220,0,8.4,1,1
NYJ,2083,360,210,1,5.4,1,1
STL,2000,350,136,0,6.3,1,1
TB,1772,247,132,1,4.8,1,1
ARI,2391,316,127,0,4.8,1,1
NYJ,2021,472,275,0,9.4,1,1
CHI,1859,318,144,-1,5,1,1
PIT,2327,528,303,-1,10.7,1,1
MIA,1859,323,117,0,8.6,1,1
CLE,2179,449,139,0,12.9,1,1
GB,1769,301,116,0,5,1,1
NYG,1922,390,116,0,9.4,1,1
DEN,1755,328,37,-1,7.9,1,1
SEA,2066,374,117,0,7.8,1,1
IND,1732,453,60,0,9.8,1,1
OAK,1835,399,173,0,7.1,1,1
CAR,2136,308,119,0,5.9,1,1
SD,1650,336,130,1,8.2,1,1
JAC,1800,378,101,0,6.9,1,1
STL,1928,324,94,0,6.8,1,1
SD,2210,402,152,0,6.6,1,1
DEN,2024,415,196,1,7.3,1,1
NE,1609,351,94,0,9.5,1,1
BUF,1920,341,137,0,7,1,1
ATL,1389,299,93,0,8.6,1,1
ATL,2193,354,219,0,6.1,1,1
PHI,1290,283,81,1,7.5,1,1
BAL,2381,353,169,-1,4.8,1,1
BUF,2215,321,215,-1,3.4,1,1
DET,1819,398,215,1,6.3,1,1
PIT,1752,262,120,2,6.5,1,1
ARI,1593,178,104,0,2.8,1,1
HOU,1625,328,149,1,5.4,1,1
BAL,1670,240,106,-1,4.3,1,1
NO,1456,374,134,1,7.7,1,1
JAC,2295,415,239,0,4.5,1,1
IND,1459,398,86,2,11.1,1,1
ATL,1829,325,205,1,5.7,1,1
STL,2067,462,202,-2,7.4,1,1
GB,1600,446,231,0,8,1,1
HOU,2106,369,93,-2,7.9,1,1
GB,1811,442,206,-1,8.1,1,1
CAR,1577,300,112,1,7.5,1,1
NE,2482,428,208,1,5.9,1,1
CAR,1576,317,157,1,5.9,1,1
BUF,1476,294,119,1,7,1,1
BAL,1571,287,59,-2,6.3,1,1
TB,2013,352,159,2,8.4,1,1
PHI,1891,334,126,0,6.9,1,1
MIN,1944,319,107,1,6.1,1,1
SEA,1951,293,116,1,5.7,1,1
DAL,2137,267,154,2,4,1,1
IND,2052,408,144,0,8.8,1,1
BUF,1698,209,128,0,4.8,1,1
IND,1615,567,150,1,11.9,1,1
PHI,1570,298,98,-1,5.6,1,1
TEN,2195,358,163,1,5.7,1,1
KC,2253,590,203,-2,11.1,1,1
SEA,2138,433,237,0,6.3,1,1
NE,2154,314,144,0,5.5,1,1
SD,2130,448,175,-1,10.5,1,1
DEN,1925,364,139,0,9,1,1
CHI,1985,254,120,-1,4.5,1,1
CIN,1879,504,253,3,8.7,1,1
BUF,2248,341,157,0,6.1,1,1
ATL,1680,396,186,0,6.8,1,1
PIT,2509,420,252,0,8.4,1,1
TB,1581,418,130,0,8.2,1,1
MIN,1723,330,112,0,7,1,1
CIN,1997,328,116,0,6.6,1,1
PIT,2056,207,107,0,4.2,1,1
NYJ,2138,294,184,0,3.9,1,1
NE,1897,362,138,0,7.2,1,1
PIT,2578,417,221,0,8.2,1,1
NE,1699,402,82,0,8,1,1
BAL,1988,259,172,0,4.3,1,1
DET,1690,266,94,1,6.4,1,1
